date,求和项:low,求和项:volume
2002/11/5,4.698,3485.38
2002/11/6,4.731,1622.65
2002/11/7,4.699,2416.52
2002/11/8,4.6,2717.56
2002/11/11,4.573,1882.82
2002/11/12,4.563,2395.89
2002/11/13,4.549,1953.68
2002/11/14,4.572,1688.32
2002/11/15,4.545,2349.01
2002/11/18,4.572,1947.19
2002/11/19,4.593,3218.19
2002/11/20,4.589,9579.38
2002/11/21,4.581,4019.53
2002/11/22,4.533,2429.25
2002/11/25,4.536,3987.96
2002/11/26,4.554,2054.54
2002/11/27,4.504,3320.91
2002/11/28,4.54,2492.03
2002/12/2,4.593,5850.87
2002/12/3,4.554,3103.85
2002/12/4,4.62,4151
2002/12/5,4.66,13020.18
2002/12/6,4.752,3741.54
2002/12/9,4.731,2902.58
2002/12/10,4.678,2611.98
2002/12/11,4.625,2546.8
2002/12/12,4.63,3989.33
2002/12/13,4.572,2223.1
2002/12/16,4.673,7976.94
2002/12/17,4.735,2926.15
2002/12/18,4.735,2028.53
2002/12/19,4.698,2310.04
2002/12/20,4.717,1624.74
2002/12/23,4.731,1984.55
2002/12/24,4.692,848.16
2002/12/25,4.689,1481.38
2002/12/26,4.538,5145.61
2002/12/27,4.52,3390.21
2002/12/30,4.51,3002.2
2002/12/31,4.51,1644.78
2003/1/2,4.377,3565.3
2003/1/3,4.341,1743.68
2003/1/6,4.343,986.36
2003/1/7,4.361,1450.5
2003/1/8,4.373,1768.02
2003/1/9,4.433,2602.57
2003/1/10,4.48,2346.38
2003/1/13,4.465,1403.8
2003/1/14,4.462,9588.25
2003/1/15,4.676,11451.68
2003/1/16,4.724,7359.08
2003/1/17,4.726,3795.18
2003/1/20,4.653,2070.9
2003/1/21,4.696,4787.44
2003/1/22,4.66,1633.1
2003/1/23,4.66,2167.49
2003/1/24,4.66,2441.19
2003/1/27,4.662,3955.68
2003/1/28,4.728,3494.96
2003/1/29,4.74,3302.19
2003/2/10,4.696,1693.78
2003/2/11,4.674,821.5
2003/2/12,4.696,1477.3
2003/2/13,4.722,2718.32
2003/2/14,4.713,1904.75
2003/2/17,4.699,1567.76
2003/2/18,4.678,1048.19
2003/2/19,4.687,1029.7
2003/2/20,4.705,851.2
2003/2/21,4.643,2268.93
2003/2/24,4.644,615.66
2003/2/25,4.657,1878.59
2003/2/26,4.728,1082.15
2003/2/27,4.708,1697.61
2003/2/28,4.713,1360.45
2003/3/3,4.763,6000.93
2003/3/4,4.795,1909.5
2003/3/5,4.804,9405.01
2003/3/6,4.843,4507.69
2003/3/7,4.82,2475.45
2003/3/10,4.763,3103.4
2003/3/11,4.705,1964.49
2003/3/12,4.713,1177.17
2003/3/13,4.758,1997.58
2003/3/14,4.735,2756.42
2003/3/17,4.694,4692.92
2003/3/18,4.63,3147.9
2003/3/19,4.582,3397.92
2003/3/20,4.589,1968.4
2003/3/21,4.607,2021.07
2003/3/24,4.643,1718.7
2003/3/25,4.589,2062.38
2003/3/26,4.519,3589.51
2003/3/27,4.503,2105.65
2003/3/28,4.609,3810.7
2003/3/31,4.604,3047.3
2003/4/1,4.604,3729.84
2003/4/2,4.63,3713.2
2003/4/3,4.648,5193.67
2003/4/4,4.598,4984.73
2003/4/7,4.536,4462.11
2003/4/8,4.492,6112.87
2003/4/9,4.492,10123.77
2003/4/10,4.54,10789.13
2003/4/11,4.581,29966.84
2003/4/14,4.713,12612.41
2003/4/15,4.715,7797.83
2003/4/16,4.682,17017.15
2003/4/17,4.651,7598.87
2003/4/18,4.669,5339.32
2003/4/21,4.519,11301.53
2003/4/22,4.51,5131.14
2003/4/23,4.432,5816.64
2003/4/24,4.377,9749.38
2003/4/25,4.394,7008.41
2003/4/28,4.341,7845.32
2003/4/29,4.341,9840.93
2003/4/30,4.38,13499.3
2003/5/12,4.421,7351.2
2003/5/13,4.191,15235.4
2003/5/14,4.182,9342.22
2003/5/15,4.217,10417.06
2003/5/16,4.27,9658.05
2003/5/19,4.341,12899.08
2003/5/20,4.368,5148.16
2003/5/21,4.377,3163.58
2003/5/22,4.359,3099.46
2003/5/23,4.341,6889.96
2003/5/26,4.373,9985.01
2003/5/27,4.368,3622.68
2003/5/28,4.412,9617.97
2003/5/29,4.433,5156.02
2003/5/30,4.508,18180.94
2003/6/2,4.573,6258.51
2003/6/3,4.547,5536.65
2003/6/4,4.485,3995.9
2003/6/5,4.51,6798.98
2003/6/6,4.465,3596.33
2003/6/9,4.467,2436.18
2003/6/10,4.49,1628.42
2003/6/11,4.511,3018.25
2003/6/13,4.527,3200.27
2003/6/16,4.481,2012.65
2003/6/17,4.432,2994.3
2003/6/18,4.421,3184.83
2003/6/19,4.386,3260.09
2003/6/20,4.403,1670.9
2003/6/23,4.421,7811.2
2003/6/24,4.483,1694.36
2003/6/25,4.494,4204.7
2003/6/26,4.4,4477.05
2003/6/27,4.412,2719.7
2003/6/30,4.421,3520.14
2003/7/1,4.412,4885.77
2003/7/2,4.43,1336.89
2003/7/3,4.41,2878.67
2003/7/4,4.421,2197.2
2003/7/7,4.394,1669.92
2003/7/8,4.414,2272.32
2003/7/9,4.426,1483.99
2003/7/10,4.435,6288.1
2003/7/11,4.534,5763.71
2003/7/14,4.558,8674.3
2003/7/15,4.633,6660.82
2003/7/16,4.688,7796.19
2003/7/17,4.715,9978.25
2003/7/18,4.619,9629.67
2003/7/21,4.59,7112.48
2003/7/22,4.639,3109.43
2003/7/23,4.637,5592.27
2003/7/24,4.637,1450.51
2003/7/25,4.542,2875.94
2003/7/28,4.558,1885.48
2003/7/29,4.558,1303.78
2003/7/30,4.554,2730.9
2003/7/31,4.503,2249.38
2003/8/1,4.47,3255.83
2003/8/4,4.44,2709.68
2003/8/5,4.47,1930.39
2003/8/6,4.501,2284.44
2003/8/7,4.505,750.57
2003/8/8,4.462,1865.07
2003/8/11,4.442,996.32
2003/8/12,4.47,752.07
2003/8/13,4.499,1802.7
2003/8/14,4.474,1906.5
2003/8/15,4.472,928.4
2003/8/18,4.466,890.3
2003/8/19,4.456,1140.97
2003/8/20,4.44,868.75
2003/8/21,4.126,4551.28
2003/8/22,4.265,3864.67
2003/8/25,4.185,2345.32
2003/8/26,4.185,1001
2003/8/27,4.197,4246.21
2003/8/28,4.23,1446.78
2003/8/29,4.185,2752
2003/9/1,4.197,4951.74
2003/9/2,4.287,7206.37
2003/9/3,4.299,1161.4
2003/9/4,4.295,1244.51
2003/9/5,4.126,5812.04
2003/9/8,4.161,1813.64
2003/9/9,4.126,3562.54
2003/9/10,4.148,2041.5
2003/9/11,4.185,1009.95
2003/9/12,4.153,2803.19
2003/9/15,4.126,2648.87
2003/9/16,4.091,1811.72
2003/9/17,4.126,6788.65
2003/9/18,4.106,1195.68
2003/9/19,4.108,3830.15
2003/9/22,4.089,1186.86
2003/9/23,4.069,955.52
2003/9/24,4.106,2285.21
2003/9/25,4.116,2138.3
2003/9/26,4.128,2654.5
2003/9/29,4.14,1888.06
2003/9/30,4.149,1443.27
2003/10/8,4.126,852.01
2003/10/9,4.148,1135.2
2003/10/10,4.144,1337.1
2003/10/13,4.204,1619.82
2003/10/14,4.21,1792.18
2003/10/15,4.248,1161.27
2003/10/16,4.201,1490.39
2003/10/17,4.185,822.88
2003/10/20,4.187,928.42
2003/10/21,4.197,663.91
2003/10/22,4.214,2163.21
2003/10/23,4.256,2251.61
2003/10/24,4.224,971
2003/10/27,4.149,3655.66
2003/10/28,4.165,2983.28
2003/10/29,4.191,7084.96
2003/10/30,4.285,9309.82
2003/10/31,4.328,5784.62
2003/11/3,4.387,4878.26
2003/11/4,4.47,15387.86
2003/11/5,4.548,17312.26
2003/11/6,4.578,6273.7
2003/11/7,4.46,7497.01
2003/11/10,4.476,2760.93
2003/11/11,4.509,2601.67
2003/11/12,4.519,2960.58
2003/11/13,4.46,2103.93
2003/11/14,4.45,2273.57
2003/11/17,4.495,1711.02
2003/11/18,4.46,2449.93
2003/11/19,4.442,3146.82
2003/11/20,4.48,4987.85
2003/11/21,4.501,1825.92
2003/11/24,4.48,2497.84
2003/11/25,4.509,3349.01
2003/11/26,4.499,3401.95
2003/11/27,4.505,5847.05
2003/11/28,4.489,3104.8
2003/12/1,4.489,8764.73
2003/12/2,4.519,6943.87
2003/12/3,4.554,13572.29
2003/12/4,4.58,8160.32
2003/12/5,4.58,20335.61
2003/12/8,4.633,3532.92
2003/12/9,4.607,3796.46
2003/12/10,4.621,5360.01
2003/12/11,4.619,4640.16
2003/12/12,4.609,1932.25
2003/12/15,4.601,1862.42
2003/12/16,4.558,3332.16
2003/12/17,4.633,8282.65
2003/12/18,4.676,5708.03
2003/12/19,4.678,5827.24
2003/12/22,4.656,6253.96
2003/12/23,4.766,10333.64
